关卡牌局代码,地形编号,开始次数,净过关次数,净胜率(%),ReplayCode,模拟胜利,模拟失败,模拟胜率(%),模拟平均步数,耗时ms,地形总牌数
5-7-9-14-1898185760,200007,11771,9780,83.09,DcSxEYAwCAVQICSBT3APF/DO1hHcx7NwNhsHcQ59xdN1OvbneuflJpaiVRpzZ2NhR2mIgWI6hjdKNZIO8QxUuP9luKDTdn4=,200,0,100.00,57.0,181,57
2-2-2-12-1290794734,200004,11649,6625,56.87,BcG5AUBAFAXA96/9F5KtQa49sViqN4lazOixfPs67+vdQCykECOxIR4ZRDkipFoIAxrO3l3BaYoCzucH,163,37,81.50,48.0,95,48
1-6-3-8-155844256,100008,11630,11087,95.33,Y9Fil15it/it5dZKBkYmZkZGFlZWZlY2ZmYGRgYmFhY2ZgYWBmYGNgZmFiCXkZERKA7EszwB,200,0,100.00,42.0,176,42
3-6-9-12-1793236849,100010,11608,8857,76.3,Fci5DYBADATA83drL/0gUQj59UKERCVIZOS0Bkw4Pk9jObb7XPcmai6hHTCkVCqztDRTQXa2Mn4d7giKsND+fa4X,200,0,100.00,54.0,201,54
8-9-7-9-650494639,200004,11174,9655,86.41,BcGhAYBADAPAJN82RYBhBjzrvUYzHgLDLNzFuXzHut/Xu4HiiKSQ5SwyJHMYbqhSNhs1GM3KSuCZPw==,200,0,100.00,48.0,151,48
6-5-8-8-2112527324,200003,11155,9468,84.88,Y9HiMDo2L70p+KILAyMTMwMDCysjGwMjOyM7CxsTOzsjAyMrGwMLOwtQhp2FhY2BmYkNKLAoDAA=,200,0,100.00,42.0,100,42
9-5-2-8-640786469,100009,11150,9024,80.93,Y9Hi2H4++ryoVGg2AyMjAxMTAyMzCxMjCwsjKxsbIwM7EwMzCyMjGzsDMwMTELKyswKlGILFAA==,136,64,68.00,42.0,119,42
5-8-9-11-446647845,200003,11138,3117,27.99,Y9HiNjo2L70p+KILAyMTMwsTKxs7BwMnC5DDxMTFxcTAysnFysrOyszGysLMwcHIxsDJzsAg8AUA,117,83,58.50,42.0,67,42
8-2-5-13-1898227314,200007,11042,5649,51.16,Fcg7EYBADAXAvHf5XC64oMIAM9jADxXaaBCCBGqGLVe36djv81nWS0A2QhWgefQcFQFG/El1A13EvZCjt+HKVFS3kPn9AA==,133,67,66.50,57.0,167,57
5-8-3-11-1185362931,100008,11025,8876,80.51,Y9Hill5it/it5dZKBkYmZhZWFjZWdnZGDnZ2Tk5GVi52VnYWVnYGDnYONgYmVk4uLmZmNnYmhqAyAA==,186,14,93.00,42.0,77,42
7-7-3-10-1253062599,200015,10958,9066,82.73,DcGxDYBADANAJ078CYsgIdFSUjMOw1AwGLvQwl1s03xcz7mvC37mYDiZRMgw5NVSyRhwUzsrwTFaTMnMiff+AA==,199,1,99.50,54.0,318,54
9-5-1-13-1977128911,200015,10904,7712,70.73,BcGxDYAwDATA9/vt2CwSCYmWMnXGYRhGYyDudB9zv9+zrhMGOl2BSAVHGUu0tpBzCK5hzgygE4gizJvY8wc=,179,21,89.50,54.0,242,54
5-9-6-10-366667489,200012,10883,2062,18.95,BcExAYBADAPAtGm+LTMCcMCGsPeBAsRgAhtMGOAujmV9rnlu3w1zWkCDQJagJtiDNHTC1E2GRxpVKavGyHTs7w8=,66,134,33.00,54.0,165,54
4-7-8-8-1175318129,100040,10859,6640,61.15,DcWxEYAwDANAWZLtjEPDBvTc0TMGk7EPC7BE0vx7G9+xn//z3ghSdhpOgGlVSdnNVaEK3SF1kl4GcE0=,149,51,74.50,48.0,369,48
4-7-8-8-1318715517,100040,10455,6294,60.2,YzHguOdi6v+6dHMsAyMjEzMzCwMLIwMLAysQMDAzMjKzsTMzsbGzMLOwsrKxsgOZbOyMrAwsQDZDWCcA,189,11,94.50,48.0,383,48
8-4-5-13-1590830761,100026,9854,7571,76.83,YzHjlchXea937WM1AyMTMxMTMzMLKyuQycbOwckO5HIxsXNwszGzsPCwMzBycPIwcTMzAzEbFycPOxcrOzPDmxMA,199,1,99.50,54.0,118,54
8-5-9-14-1720496447,100026,9574,2660,27.78,YzHjk8hXea937WM1AyMTMzMzCysbOwcjJxc3NxMPNw8zMyczBy8LNzsPIxcDDysvEy8DGzNYnI2bi4OFlZOdoUwRAA==,147,53,73.50,54.0,102,54
6-2-6-14-1637285911,200010,9467,1056,11.15,DcKxFYAwCAXATyCfhOBAFpZO6gZuYWXhBI5hpd47m6f1Wbbzfg9ABEVNUPn3RvRQCXKUHIlsJt5LsnaSmeJNbQCB/foA,11,189,5.50,57.0,129,57
6-3-5-10-140999069,100002,9378,6631,70.71,Y1HnsjrKMfF9W+RuBkYmZhZWNlYWIGDn4GRmYeBkZGHiYGXjYGdnYmZmA4owMgBF4y8CAA==,172,28,86.00,39.0,54,39
5-6-7-8-524450595,100040,9377,6731,71.78,YzHguOdi6v+6dHMsAwMjIxMzCwsTKxszEzsjM5DNwMDEysLOyMLGzM7MBpRgYmJgZ2dkZ2JkZWVgZai+BgA=,199,1,99.50,48.0,330,48
8-3-9-13-598872161,100010,9232,5923,64.16,BcGxDYAwDATAd+KPnQ/zIDFIatiFColJqFmFfbjzdTm2+3yfecFQajUH2RAwyy7AXUhxdCWophGlmqmHRmki8e0/,189,11,94.50,54.0,157,54
9-5-9-12-49368688,200007,9028,1300,14.4,FcmxDYAwDARA+/1OYptFWACJkhUQ61AxGw2DMAfi2uM6nftzvfNyi8Jo8Obog2gMBzMJiyq6Bvs/cEaZRKglxUaDbMcH,47,153,23.50,57.0,166,57
2-9-7-11-1102392293,200003,8632,6512,75.44,Y9HiMjo2L70p+KILAyMTMwMTMwsTKxMbOzsDKwc7OycbEzs7BxMjUJyJhZOTjYOFiYGBlZHhbiAA,198,2,99.00,42.0,96,42
3-5-7-10-282103655,100008,8590,6107,71.09,Y9Hikl5it/it5dZKBkYmZhZWFgYgZmVjB1KsHCwMQMTOwczJxsnJxMjGwsLOyMTKwMzQYAoA,198,2,99.00,42.0,94,42
5-9-8-11-1550551944,200004,8457,4505,53.27,FcirFYBADATAze82CQ8M5hrA0yOaAjHUwmPk+Lm8x7rf17NBoOYhJjagTBKVyfTOvySqFewRziyBYc4P,138,62,69.00,48.0,97,48
1-5-9-14-1638733117,200012,8427,4884,57.96,YzHjFrkyu6hX4fN+BgZGJmZGFlY2dg4GVlZOTjZ2TjZOdjY2FkZOdi5WoASQzcnIycbMxMXOysHMxsnEwcXJyHDjGAA=,148,52,74.00,54.0,210,54
2-5-2-9-373579457,100009,8363,4768,57.01,Y9Hi3H4++ryoVGg2AyMTMzMLMysbMwsjOysDExs7EwMHIzMHkM/KwsIMlGNlZudgZWVmZqicAQA=,200,0,100.00,42.0,110,42
9-5-5-14-646473892,100026,8262,4592,55.58,BcG7DYAwDAXA518cJzY1A1BTshYDsCdrICQG4E6PZT23Z7/fCyAWsJpQY0eP4TO9pUfBGWQiXiO1T9YZ0kZ1FsNXPw==,187,13,93.50,54.0,100,54
2-9-7-10-1324820564,200015,8147,5888,72.27,BcGxDYAwEANAO7H9YRIkJFpK6qxCxxJswGgMxJ2OZZ3vd5/7BrYOykYcq0LG4KAtlAGxOpymRG0MdibA9fw=,189,11,94.50,54.0,325,54
4-9-6-8-792171460,100009,7216,6810,94.37,DcY7AcAgDAXAvE8IBliQUD+dKqGOMFIZWCo3na/+7WePeb8BRFC0BCbkBjRSPiudsGhnlmKuHw==,200,0,100.00,42.0,131,42
3-7-9-9-1592283681,200003,7095,6425,90.56,Y9HiMDo2L70p+KILAyMTAxMTEzMDEwsrGwMrKzsQsTGws7MysTKysTCzsrGzs7Eys7AxMjAohwAA,200,0,100.00,42.0,116,42
