关卡牌局代码,地形编号,开始次数,净过关次数,在线胜率(%),模拟胜率(%),差值(sim-online),绝对差值,模拟胜利,模拟失败,模拟平均步数,耗时ms,地形总牌数
6-8-7-13-697357426,100058,674,361,53.56,85.00,31.44,31.44,170,30,84.0,824,84
9-8-6-17-798745259,400011,673,468,69.54,93.00,23.46,23.46,186,14,90.0,440,90
8-3-7-16-863594580,100057,672,525,78.13,96.00,17.87,17.87,192,8,72.0,350,72
1-4-2-15-729289759,100047,671,458,68.26,87.50,19.24,19.24,175,25,72.0,1401,72
4-9-6-8-109368539,100009,671,436,64.98,100.00,35.02,35.02,200,0,42.0,134,42
9-1-4-14-1373698657,100014,671,539,80.33,97.00,16.67,16.67,194,6,54.0,195,54
9-9-1-18-1204902358,100071,671,586,87.33,96.00,8.67,8.67,192,8,72.0,627,72
6-9-1-23-824840896,400012,670,297,44.33,65.00,20.67,20.67,130,70,108.0,999,108
6-6-1-22-1278114826,100070,669,396,59.19,94.50,35.31,35.31,189,11,117.0,1790,117
3-8-2-10-1052288167,100041,667,497,74.51,99.50,24.99,24.99,199,1,72.0,436,72
8-4-4-18-292374545,400017,666,447,67.12,95.50,28.38,28.38,191,9,117.0,670,117
6-2-9-17-2109689145,100094,666,257,38.59,63.00,24.41,24.41,126,74,99.0,640,99
6-9-3-15-279911823,100013,666,470,70.57,96.50,25.93,25.93,193,7,72.0,263,72
5-2-2-14-1684931734,100076,665,542,81.50,100.00,18.50,18.50,200,0,90.0,666,90
8-7-9-21-1518651402,100089,665,287,43.16,62.50,19.34,19.34,125,75,114.0,1189,114
6-1-9-10-677445188,100072,664,562,84.64,99.00,14.36,14.36,198,2,63.0,711,63
6-3-6-10-470267426,100002,663,531,80.09,100.00,19.91,19.91,200,0,39.0,60,39
6-6-7-11-1127330045,100059,663,204,30.77,57.00,26.23,26.23,114,86,81.0,689,81
9-1-8-14-1448433996,100080,663,549,82.81,98.00,15.19,15.19,196,4,69.0,618,69
3-3-5-12-1992725133,100016,661,415,62.78,87.50,24.72,24.72,175,25,66.0,293,66
3-7-2-21-1206386635,400013,657,124,18.87,51.00,32.13,32.13,102,98,108.0,2659,108
8-8-1-14-1576308815,200012,656,476,72.56,100.00,27.44,27.44,200,0,54.0,137,54
4-3-7-12-532422002,200007,656,353,53.81,96.50,42.69,42.69,193,7,57.0,181,57
8-7-1-8-778393163,100056,656,612,93.29,100.00,6.71,6.71,200,0,54.0,677,54
7-3-1-18-1738741356,100007,652,404,61.96,89.00,27.04,27.04,178,22,69.0,280,69
7-1-6-22-844439993,100051,652,475,72.85,90.00,17.15,17.15,180,20,105.0,1505,105
7-3-7-12-1952494075,200010,652,534,81.90,97.00,15.10,15.10,194,6,57.0,303,57
5-8-5-12-1128624091,100030,652,478,73.31,91.00,17.69,17.69,182,18,66.0,224,66
9-9-1-22-514515815,400014,652,298,45.71,80.00,34.29,34.29,160,40,108.0,3596,108
1-5-8-17-451544183,400015,651,487,74.81,99.00,24.19,24.19,198,2,90.0,1040,90
9-3-5-14-366879275,100038,647,528,81.61,98.00,16.39,16.39,196,4,54.0,126,54
2-3-2-13-1503659776,100055,646,390,60.37,92.50,32.13,32.13,185,15,84.0,692,84
3-7-3-13-1484499642,100010,641,308,48.05,94.00,45.95,45.95,188,12,54.0,151,54
6-9-4-16-847517323,200013,639,507,79.34,93.50,14.16,14.16,187,13,63.0,147,63
8-6-1-14-1703300081,100067,637,363,56.99,68.00,11.01,11.01,136,64,90.0,1560,90
9-6-2-15-1105848072,100004,637,503,78.96,99.00,20.04,20.04,198,2,60.0,264,60
4-9-9-14-494913004,100010,635,282,44.41,90.00,45.59,45.59,180,20,54.0,164,54
9-4-8-13-219491444,100028,634,412,64.98,70.50,5.52,5.52,141,59,54.0,203,54
6-7-2-12-1240606283,200004,633,417,65.88,100.00,34.12,34.12,200,0,48.0,185,48
4-9-6-8-1619129058,100009,631,463,73.38,100.00,26.62,26.62,200,0,42.0,149,42
8-6-7-15-1825021384,100046,631,456,72.27,92.00,19.73,19.73,184,16,57.0,128,57
4-8-2-11-1200166877,100040,629,283,44.99,100.00,55.01,55.01,200,0,48.0,368,48
5-3-1-15-672454303,100005,628,546,86.94,96.50,9.56,9.56,193,7,66.0,238,66
9-6-4-11-1980576418,100026,623,412,66.13,99.50,33.37,33.37,199,1,54.0,208,54
3-9-1-12-1634017649,100074,623,549,88.12,99.00,10.88,10.88,198,2,54.0,257,54
6-3-3-16-420393814,100069,623,300,48.15,81.00,32.85,32.85,162,38,114.0,1665,114
7-4-3-22-1733967065,100094,623,249,39.97,14.50,-25.47,25.47,29,171,99.0,477,99
8-5-9-13-1558375573,100081,623,425,68.22,95.50,27.28,27.28,191,9,72.0,911,72
9-9-1-22-919786201,400014,623,330,52.97,53.00,0.03,0.03,106,94,108.0,3122,108
8-2-5-17-1398191001,100034,620,118,19.03,80.50,61.47,61.47,161,39,72.0,169,72
8-1-7-10-141931741,200012,619,426,68.82,100.00,31.18,31.18,200,0,54.0,234,54
8-2-4-11-1588981834,100040,618,379,61.33,90.50,29.17,29.17,181,19,48.0,216,48
4-9-9-17-1803965462,100034,614,438,71.34,98.50,27.16,27.16,197,3,72.0,251,72
7-9-8-12-1536249226,100040,613,394,64.27,99.00,34.73,34.73,198,2,48.0,224,48
1-7-5-14-1915730891,100088,613,344,56.12,85.50,29.38,29.38,171,29,72.0,1797,72
9-2-8-9-356830300,100040,613,341,55.63,99.50,43.87,43.87,199,1,48.0,449,48
6-2-4-14-945680959,200010,612,84,13.73,66.50,52.77,52.77,133,67,57.0,175,57
9-8-6-14-1484497930,100028,608,328,53.95,98.50,44.55,44.55,197,3,54.0,129,54
3-3-1-20-2120066075,100063,604,513,84.93,93.00,8.07,8.07,186,14,99.0,807,99
4-4-3-10-1538905233,100043,602,501,83.22,96.00,12.78,12.78,192,8,78.0,986,78
3-1-1-23-275926813,100064,602,214,35.55,79.00,43.45,43.45,158,42,126.0,1605,126
1-7-8-20-492550814,100087,598,371,62.04,93.00,30.96,30.96,186,14,102.0,1624,102
3-8-4-17-375269101,100097,596,340,57.05,99.00,41.95,41.95,198,2,84.0,369,84
1-2-2-23-1432444281,100070,594,259,43.60,43.00,-0.60,0.60,86,114,117.0,1842,117
7-4-1-23-477566598,100086,593,239,40.30,76.00,35.70,35.70,152,48,117.0,2406,117
7-1-3-20-1844571984,100095,592,354,59.80,86.50,26.70,26.70,173,27,90.0,516,90
5-8-9-12-1713271508,100038,592,453,76.52,94.50,17.98,17.98,189,11,54.0,105,54
9-3-1-12-1771642695,100023,591,562,95.09,100.00,4.91,4.91,200,0,54.0,257,54
6-7-7-18-180522314,400013,591,68,11.51,29.50,17.99,17.99,59,141,108.0,3008,108
3-7-5-18-753926240,100021,591,168,28.43,93.50,65.07,65.07,187,13,72.0,228,72
8-4-1-18-2109017048,100080,590,373,63.22,95.00,31.78,31.78,190,10,69.0,289,69
9-4-2-22-742230327,100096,590,162,27.46,59.00,31.54,31.54,118,82,96.0,1488,96
8-9-2-14-1899146332,100033,590,241,40.85,26.00,-14.85,14.85,52,148,60.0,269,60
1-3-2-17-1168498215,100083,588,420,71.43,93.00,21.57,21.57,186,14,90.0,746,90
3-9-1-12-184476171,100074,587,491,83.65,100.00,16.35,16.35,200,0,54.0,323,54
8-4-5-18-668363950,100061,586,339,57.85,88.50,30.65,30.65,177,23,102.0,624,102
8-7-9-21-858089706,100089,586,362,61.77,91.50,29.73,29.73,183,17,114.0,1158,114
8-6-8-16-697734137,100076,586,214,36.52,69.00,32.48,32.48,138,62,90.0,453,90
5-2-8-16-631483752,100036,582,417,71.65,84.50,12.85,12.85,169,31,90.0,759,90
8-4-4-18-1420782749,400017,582,349,59.97,87.50,27.53,27.53,175,25,117.0,724,117
