关卡牌局代码,地形编号,开始次数,净过关次数,在线胜率(%),模拟胜率(%),差值(sim-online),绝对差值,模拟胜利,模拟失败,模拟平均步数,耗时ms,地形总牌数
7-7-8-19-730839492,100086,126,28,22.22,58.00,35.78,35.78,116,84,117.0,1269,117
8-5-9-13-822468620,100081,126,50,39.68,65.00,25.32,25.32,130,70,72.0,828,72
9-1-6-22-423181991,100083,125,55,44.00,96.00,52.00,52.00,192,8,90.0,753,90
7-2-4-22-1752581290,400017,125,20,16.00,63.00,47.00,47.00,126,74,117.0,1050,117
9-5-9-21-732773474,100097,125,28,22.40,72.00,49.60,49.60,144,56,84.0,254,84
8-8-3-21-2034792866,100064,125,18,14.40,91.00,76.60,76.60,182,18,126.0,1848,126
9-3-9-15-1133620942,100037,125,44,35.20,46.00,10.80,10.80,92,108,66.0,318,66
7-2-4-19-1109419294,100083,125,48,38.40,89.00,50.60,50.60,178,22,90.0,643,90
9-5-1-14-1975175173,100051,125,66,52.80,98.50,45.70,45.70,197,3,105.0,2034,105
9-8-7-18-1948295917,100079,125,70,56.00,77.00,21.00,21.00,154,46,75.0,386,75
5-7-3-9-365021779,200007,125,83,66.40,100.00,33.60,33.60,200,0,57.0,276,57
5-4-4-13-1997330987,100090,124,33,26.61,93.00,66.39,66.39,186,14,81.0,1051,81
3-2-2-20-1071731048,500001,124,12,9.68,100.00,90.32,90.32,200,0,78.0,392,78
8-7-8-14-880170171,100020,124,56,45.16,87.00,41.84,41.84,174,26,66.0,181,66
9-5-1-17-465729592,100088,124,29,23.39,40.00,16.61,16.61,80,120,72.0,1604,72
7-8-8-14-1731635165,100067,124,52,41.94,94.00,52.06,52.06,188,12,90.0,1198,90
8-6-2-24-125352876,100096,124,13,10.48,27.00,16.52,16.52,54,146,96.0,1385,96
7-5-3-17-1829690741,100086,124,43,34.68,33.00,-1.68,1.68,66,134,117.0,2239,117
7-1-5-24-2044812687,100070,124,24,19.35,88.00,68.65,68.65,176,24,117.0,2552,117
7-7-5-19-1800603109,100069,124,17,13.71,96.50,82.79,82.79,193,7,114.0,1477,114
7-9-3-22-1828948286,100061,124,50,40.32,94.00,53.68,53.68,188,12,102.0,983,102
3-2-5-16-1168779549,100036,124,70,56.45,73.50,17.05,17.05,147,53,90.0,739,90
8-8-4-18-1901312975,100063,123,18,14.63,91.00,76.37,76.37,182,18,99.0,636,99
7-3-3-12-1460868201,200024,123,54,43.90,82.50,38.60,38.60,165,35,72.0,223,72
9-6-3-14-742420554,100023,123,62,50.41,82.00,31.59,31.59,164,36,54.0,135,54
8-6-6-21-1192627533,100089,123,39,31.71,58.00,26.29,26.29,116,84,114.0,1066,114
9-6-6-13-850929096,100084,123,51,41.46,97.00,55.54,55.54,194,6,102.0,5465,102
5-4-2-21-1679386149,400012,123,47,38.21,75.00,36.79,36.79,150,50,108.0,1025,108
9-8-2-14-1170421176,100080,123,33,26.83,61.50,34.67,34.67,123,77,69.0,560,69
3-9-8-16-820103229,100050,122,60,49.18,87.50,38.32,38.32,175,25,78.0,1176,78
8-4-2-14-1005673411,100088,122,42,34.43,70.50,36.07,36.07,141,59,72.0,996,72
2-7-5-15-839304209,200053,122,53,43.44,100.00,56.56,56.56,200,0,72.0,480,72
8-3-7-17-2010310274,100050,122,49,40.16,80.50,40.34,40.34,161,39,78.0,864,78
4-8-7-21-761526990,100078,122,34,27.87,58.50,30.63,30.63,117,83,81.0,821,81
9-2-1-21-646048621,100060,121,50,41.32,90.00,48.68,48.68,180,20,84.0,835,84
8-5-9-16-1914440053,100013,121,71,58.68,98.50,39.82,39.82,197,3,72.0,229,72
1-7-8-16-946343604,100075,121,31,25.62,82.50,56.88,56.88,165,35,84.0,4195,84
1-6-2-25-1721442480,100061,121,38,31.41,96.00,64.59,64.59,192,8,102.0,910,102
2-9-7-14-1293152317,100010,121,33,27.27,100.00,72.73,72.73,200,0,54.0,186,54
8-3-2-16-933395303,100041,121,34,28.10,48.00,19.90,19.90,96,104,72.0,184,72
8-5-8-23-172871778,400014,121,29,23.97,31.00,7.03,7.03,62,138,108.0,1771,108
6-8-9-14-1463785407,200013,121,68,56.20,68.50,12.30,12.30,137,63,63.0,190,63
8-7-3-20-252761007,100051,120,19,15.83,23.00,7.17,7.17,46,154,105.0,870,105
8-1-6-17-1477506021,200024,120,61,50.83,74.50,23.67,23.67,149,51,72.0,213,72
5-4-9-18-1324428633,400011,120,16,13.33,11.00,-2.33,2.33,22,178,90.0,514,90
4-7-2-13-838269404,100079,120,61,50.83,86.50,35.67,35.67,173,27,75.0,768,75
6-1-3-21-897229211,100051,120,23,19.17,81.00,61.83,61.83,162,38,105.0,1541,105
6-7-6-15-873237745,100058,120,60,50.00,83.00,33.00,33.00,166,34,84.0,604,84
6-4-1-21-1255563448,100087,120,41,34.17,97.50,63.33,63.33,195,5,102.0,1435,102
6-6-6-14-1023056531,100071,120,55,45.83,63.00,17.17,17.17,126,74,72.0,352,72
7-7-2-23-583667157,100069,120,27,22.50,56.50,34.00,34.00,113,87,114.0,1155,114
7-5-1-13-1382499388,100072,120,69,57.50,91.50,34.00,34.00,183,17,63.0,458,63
8-5-6-18-1049047617,400017,120,15,12.50,40.00,27.50,27.50,80,120,117.0,560,117
2-1-2-18-1960590265,100096,119,30,25.21,58.00,32.79,32.79,116,84,96.0,1414,96
5-4-2-15-1947184706,100047,119,23,19.33,43.50,24.17,24.17,87,113,72.0,1062,72
1-4-1-23-1144387329,100036,119,72,60.50,100.00,39.50,39.50,200,0,90.0,740,90
7-6-4-19-883165528,100069,119,18,15.13,85.50,70.37,70.37,171,29,114.0,1371,114
1-6-8-13-133442016,100075,119,47,39.50,97.50,58.00,58.00,195,5,84.0,6176,84
3-1-4-23-861982335,400011,119,25,21.01,57.50,36.49,36.49,115,85,90.0,605,90
6-9-1-23-1121406528,400012,119,21,17.65,87.50,69.85,69.85,175,25,108.0,1209,108
9-9-3-15-1021816532,100088,119,55,46.22,93.00,46.78,46.78,186,14,72.0,1492,72
8-7-2-20-623254000,100050,119,39,32.77,50.00,17.23,17.23,100,100,78.0,567,78
3-5-2-13-1254451008,100074,118,49,41.53,53.00,11.47,11.47,106,94,54.0,131,54
6-9-8-16-392271464,100016,118,87,73.73,99.50,25.77,25.77,199,1,66.0,233,66
7-3-1-18-1218840139,100007,118,83,70.34,100.00,29.66,29.66,200,0,69.0,260,69
3-6-3-13-318839424,100034,118,64,54.24,98.00,43.76,43.76,196,4,72.0,339,72
3-6-3-13-247210651,100034,118,58,49.15,64.50,15.35,15.35,129,71,72.0,219,72
9-7-2-14-1221182432,100066,118,16,13.56,24.00,10.44,10.44,48,152,93.0,2823,93
9-9-4-8-1006351591,100005,118,98,83.05,100.00,16.95,16.95,200,0,66.0,345,66
9-9-5-16-48720430,100005,118,21,17.80,20.50,2.70,2.70,41,159,66.0,149,66
7-7-9-23-1609987689,100052,118,55,46.61,83.00,36.39,36.39,166,34,120.0,726,120
8-8-1-19-729303334,100065,118,47,39.83,79.00,39.17,39.17,158,42,108.0,1805,108
9-4-6-19-1814215748,100070,118,35,29.66,82.00,52.34,52.34,164,36,117.0,3196,117
6-3-8-13-1385244254,100026,118,16,13.56,92.50,78.94,78.94,185,15,54.0,161,54
8-7-6-12-1524927965,100066,118,34,28.81,90.00,61.19,61.19,180,20,93.0,2355,93
6-1-8-17-289327490,200053,117,43,36.75,97.50,60.75,60.75,195,5,72.0,283,72
1-8-4-19-1390414,100081,117,50,42.74,97.50,54.76,54.76,195,5,72.0,599,72
2-4-2-16-1974510745,100007,117,68,58.12,98.00,39.88,39.88,196,4,69.0,314,69
6-7-5-17-1855803371,200053,117,65,55.56,93.00,37.44,37.44,186,14,72.0,268,72
9-3-7-9-1632104210,200004,117,74,63.25,99.50,36.25,36.25,199,1,48.0,164,48
6-9-1-23-915603189,400012,117,34,29.06,64.50,35.44,35.44,129,71,108.0,1183,108
8-6-5-13-1654375878,100076,116,33,28.45,89.50,61.05,61.05,179,21,90.0,664,90
7-2-4-22-1681665576,400017,116,42,36.21,96.00,59.79,59.79,192,8,117.0,1061,117
2-9-2-13-1691152984,200012,116,25,21.55,99.50,77.95,77.95,199,1,54.0,178,54
3-9-3-8-1122635898,200015,116,21,18.10,97.50,79.40,79.40,195,5,54.0,417,54
6-8-2-11-42740676,100008,116,46,39.66,98.50,58.84,58.84,197,3,42.0,116,42
1-9-6-15-1977044561,100090,116,27,23.28,48.50,25.22,25.22,97,103,81.0,1077,81
8-7-9-21-1129957257,100089,116,21,18.10,77.50,59.40,59.40,155,45,114.0,1225,114
8-7-4-12-349591922,100067,116,68,58.62,97.00,38.38,38.38,194,6,90.0,1899,90
2-3-8-11-3409404,100010,116,37,31.90,94.00,62.10,62.10,188,12,54.0,233,54
7-1-2-21-1755592048,100055,116,84,72.41,99.00,26.59,26.59,198,2,84.0,583,84
8-6-5-16-1481988321,100069,115,4,3.48,94.50,91.02,91.02,189,11,114.0,1808,114
9-5-7-18-1749085059,100083,115,15,13.04,2.00,-11.04,11.04,4,196,90.0,612,90
4-1-2-25-1564630428,100069,115,21,18.26,87.50,69.24,69.24,175,25,114.0,2170,114
6-5-4-15-995886139,100087,115,39,33.91,29.00,-4.91,4.91,58,142,102.0,1567,102
5-4-2-21-1819458206,400012,115,47,40.87,88.50,47.63,47.63,177,23,108.0,905,108
9-2-8-21-844205472,400013,115,91,79.13,100.00,20.87,20.87,200,0,108.0,5187,108
8-3-7-16-732988163,100057,115,33,28.70,69.50,40.80,40.80,139,61,72.0,584,72
9-4-3-17-511044600,100087,114,67,58.77,94.50,35.73,35.73,189,11,102.0,2058,102
3-1-4-23-1999576414,400011,114,62,54.39,100.00,45.61,45.61,200,0,90.0,769,90
3-3-9-12-758246082,100038,114,43,37.72,50.50,12.78,12.78,101,99,54.0,119,54
5-4-9-14-1876583880,100031,114,76,66.67,95.50,28.83,28.83,191,9,60.0,192,60
1-7-2-19-1987507160,100078,114,67,58.77,99.00,40.23,40.23,198,2,81.0,1278,81
9-4-5-11-365203660,200012,114,48,42.11,100.00,57.89,57.89,200,0,54.0,173,54
8-4-3-15-1575195171,100051,113,43,38.05,84.50,46.45,46.45,169,31,105.0,1121,105
3-6-8-22-765482967,100097,113,10,8.85,8.50,-0.35,0.35,17,183,84.0,249,84
9-9-7-15-1190920220,100005,113,31,27.43,53.00,25.57,25.57,106,94,66.0,150,66
9-9-4-15-1916211449,200007,113,16,14.16,73.00,58.84,58.84,146,54,57.0,167,57
8-8-4-13-2023554480,100026,113,17,15.04,100.00,84.96,84.96,200,0,54.0,127,54
3-2-2-20-491760430,500001,113,10,8.85,97.50,88.65,88.65,195,5,78.0,311,78
3-9-4-10-2122154853,100010,113,30,26.55,100.00,73.45,73.45,200,0,54.0,223,54
3-6-3-17-1401953594,100092,113,73,64.60,94.00,29.40,29.40,188,12,75.0,191,75
7-8-8-10-582190274,100041,113,36,31.86,96.50,64.64,64.64,193,7,72.0,485,72
7-6-5-21-698658930,100064,113,29,25.66,66.00,40.34,40.34,132,68,126.0,2114,126
9-6-7-9-119935355,100002,113,75,66.37,100.00,33.63,33.63,200,0,39.0,74,39
9-1-6-17-531843772,100048,113,29,25.66,86.00,60.34,60.34,172,28,66.0,479,66
7-1-4-19-1604575101,100066,112,13,11.61,64.00,52.39,52.39,128,72,93.0,2216,93
9-7-2-20-1779495184,100095,112,55,49.11,97.00,47.89,47.89,194,6,90.0,601,90
4-3-9-16-559773450,100097,112,25,22.32,81.00,58.68,58.68,162,38,84.0,631,84
8-4-2-23-753777014,100064,112,6,5.36,87.00,81.64,81.64,174,26,126.0,1671,126
9-8-6-17-618087417,400011,112,51,45.54,94.00,48.46,48.46,188,12,90.0,500,90
6-6-7-11-2128110616,100059,112,35,31.25,59.00,27.75,27.75,118,82,81.0,908,81
3-5-5-20-518742702,100089,112,21,18.75,21.50,2.75,2.75,43,157,114.0,766,114
2-1-7-16-1635768450,100020,112,71,63.39,99.50,36.11,36.11,199,1,66.0,266,66
7-6-7-19-12129455,100095,112,18,16.07,27.50,11.43,11.43,55,145,90.0,386,90
9-7-2-14-1654141788,100066,112,54,48.21,89.50,41.29,41.29,179,21,93.0,3040,93
1-5-4-18-1307732781,100058,112,49,43.75,99.50,55.75,55.75,199,1,84.0,1130,84
6-9-3-25-1270140458,100052,112,11,9.82,90.50,80.68,80.68,181,19,120.0,794,120
8-7-4-16-214247238,100021,111,10,9.01,93.00,83.99,83.99,186,14,72.0,249,72
7-9-7-21-1719689373,100094,111,19,17.12,81.50,64.38,64.38,163,37,99.0,634,99
7-2-4-13-1009442563,100010,111,49,44.14,100.00,55.86,55.86,200,0,54.0,129,54
7-5-3-14-1998605494,100028,111,81,72.97,91.00,18.03,18.03,182,18,54.0,140,54
6-9-8-11-2109505874,100080,111,41,36.94,39.00,2.06,2.06,78,122,69.0,477,69
7-5-4-14-13264927,100087,110,33,30.00,91.50,61.50,61.50,183,17,102.0,1634,102
9-2-8-13-734914706,200013,110,62,56.36,100.00,43.64,43.64,200,0,63.0,279,63
6-2-3-19-1888290117,100086,110,11,10.00,70.00,60.00,60.00,140,60,117.0,1801,117
4-3-2-12-636471146,200012,110,29,26.36,80.50,54.14,54.14,161,39,54.0,155,54
9-4-2-11-1019872389,100009,110,66,60.00,100.00,40.00,40.00,200,0,42.0,114,42
5-1-4-14-644616058,100075,109,35,32.11,93.00,60.89,60.89,186,14,84.0,5471,84
9-9-4-14-1988271272,100057,109,58,53.21,90.50,37.29,37.29,181,19,72.0,597,72
1-8-3-21-1501304002,100066,109,24,22.02,86.50,64.48,64.48,173,27,93.0,1277,93
1-3-2-15-844944189,100059,109,35,32.11,75.00,42.89,42.89,150,50,81.0,653,81
8-1-8-22-1863487862,100055,109,17,15.60,32.50,16.90,16.90,65,135,84.0,593,84
6-7-4-16-1100289212,200024,109,22,20.18,77.50,57.32,57.32,155,45,72.0,169,72
1-6-3-25-898358453,100096,109,4,3.67,13.50,9.83,9.83,27,173,96.0,2078,96
7-6-4-16-4754838,100063,109,33,30.28,79.50,49.22,49.22,159,41,99.0,1269,99
8-6-8-16-476380385,100067,108,44,40.74,87.00,46.26,46.26,174,26,90.0,1625,90
6-3-6-16-1545995079,100004,108,49,45.37,47.50,2.13,2.13,95,105,60.0,139,60
5-3-6-15-1832925239,100046,108,76,70.37,98.50,28.13,28.13,197,3,57.0,178,57
1-5-2-11-315723819,100009,108,16,14.81,95.50,80.69,80.69,191,9,42.0,101,42
1-9-6-18-363180164,100090,108,28,25.93,73.50,47.57,47.57,147,53,81.0,3025,81
3-7-2-21-158604903,400013,108,43,39.81,92.50,52.69,52.69,185,15,108.0,4365,108
9-6-4-24-1819577787,100064,108,1,0.93,82.50,81.57,81.57,165,35,126.0,2094,126
8-1-6-19-1314987143,100084,108,15,13.89,57.00,43.11,43.11,114,86,102.0,2644,102
7-5-8-9-1451751369,100009,108,19,17.59,73.00,55.41,55.41,146,54,42.0,74,42
2-2-5-10-378641637,100072,107,42,39.25,88.00,48.75,48.75,176,24,63.0,576,63
5-2-2-13-1278574722,100004,107,78,72.90,98.50,25.60,25.60,197,3,60.0,206,60
6-5-5-10-992788769,100002,107,43,40.19,100.00,59.81,59.81,200,0,39.0,59,39
9-9-1-22-1915588706,400014,107,41,38.32,92.50,54.18,54.18,185,15,108.0,3834,108
6-9-1-23-2039840211,400012,107,39,36.45,85.00,48.55,48.55,170,30,108.0,1179,108
8-9-1-22-1938677277,100095,107,33,30.84,42.50,11.66,11.66,85,115,90.0,595,90
8-1-8-16-20133756,100060,107,70,65.42,90.50,25.08,25.08,181,19,84.0,744,84
9-7-6-13-1964452088,100023,107,27,25.23,54.00,28.77,28.77,108,92,54.0,161,54
1-4-2-24-664338149,100067,107,37,34.58,99.50,64.92,64.92,199,1,90.0,2086,90
3-8-6-14-1617512561,400015,107,62,57.94,100.00,42.06,42.06,200,0,90.0,829,90
7-8-4-20-1543291823,100085,106,42,39.62,95.00,55.38,55.38,190,10,84.0,344,84
7-8-4-18-676735784,100069,106,3,2.83,98.00,95.17,95.17,196,4,114.0,1615,114
5-4-3-12-2121235148,100014,106,71,66.98,100.00,33.02,33.02,200,0,54.0,190,54
9-7-5-21-1711861787,100089,106,34,32.08,64.00,31.92,31.92,128,72,114.0,1327,114
9-8-4-9-1104079899,200053,106,77,72.64,99.50,26.86,26.86,199,1,72.0,473,72
4-3-2-11-751769568,100008,106,70,66.04,100.00,33.96,33.96,200,0,42.0,65,42
5-6-5-14-234627817,100020,106,38,35.85,24.00,-11.85,11.85,48,152,66.0,139,66
7-5-3-20-1612518653,100036,106,43,40.57,95.00,54.43,54.43,190,10,90.0,482,90
1-2-2-23-845764761,100070,106,36,33.96,67.50,33.54,33.54,135,65,117.0,1944,117
8-4-8-20-363503324,100061,106,11,10.38,89.00,78.62,78.62,178,22,102.0,748,102
8-8-1-14-845654122,100090,106,52,49.06,99.00,49.94,49.94,198,2,81.0,710,81
7-4-5-23-669602714,100052,105,44,41.90,98.00,56.10,56.10,196,4,120.0,811,120
6-6-6-15-30156013,100046,105,27,25.71,32.00,6.29,6.29,64,136,57.0,109,57
7-5-9-19-856814317,100036,105,31,29.52,34.50,4.98,4.98,69,131,90.0,465,90
3-2-8-11-1106404852,200004,105,28,26.67,100.00,73.33,73.33,200,0,48.0,159,48
9-6-4-20-1171373260,100064,105,21,20.00,70.00,50.00,50.00,140,60,126.0,1718,126
1-5-7-16-2137393692,100079,105,49,46.67,98.00,51.33,51.33,196,4,75.0,777,75
5-2-3-14-1123243980,100010,105,28,26.67,99.00,72.33,72.33,198,2,54.0,126,54
3-2-4-13-1711575159,100010,104,21,20.19,99.00,78.81,78.81,198,2,54.0,167,54
7-3-4-23-901264258,100094,104,56,53.85,99.50,45.65,45.65,199,1,99.0,463,99
5-4-3-15-1264618642,200010,104,20,19.23,70.00,50.77,50.77,140,60,57.0,164,57
1-8-3-11-875273562,100088,104,75,72.12,97.00,24.88,24.88,194,6,72.0,1527,72
7-8-2-22-1329327511,100070,104,10,9.62,84.00,74.38,74.38,168,32,117.0,1351,117
5-3-1-22-276933409,100061,104,26,25.00,24.50,-0.50,0.50,49,151,102.0,920,102
7-2-7-17-1428918347,400014,104,23,22.12,72.00,49.88,49.88,144,56,108.0,3954,108
5-1-7-20-1453907975,100076,104,59,56.73,80.50,23.77,23.77,161,39,90.0,703,90
9-8-6-17-1202515243,400011,103,65,63.11,99.50,36.39,36.39,199,1,90.0,466,90
8-5-5-15-1141457350,100083,103,28,27.18,41.50,14.32,14.32,83,117,90.0,583,90
2-6-4-15-2086879272,100004,103,20,19.42,99.50,80.08,80.08,199,1,60.0,285,60
3-4-1-13-1400134016,100090,103,44,42.72,74.50,31.78,31.78,149,51,81.0,871,81
3-7-9-19-1714341104,200024,103,60,58.25,98.50,40.25,40.25,197,3,72.0,184,72
6-9-9-11-1806317101,100008,103,46,44.66,99.50,54.84,54.84,199,1,42.0,76,42
5-4-9-18-1635467754,400011,102,36,35.29,89.50,54.21,54.21,179,21,90.0,711,90
8-3-3-13-905645491,100034,102,22,21.57,79.00,57.43,57.43,158,42,72.0,219,72
7-7-6-17-2064574283,100096,102,21,20.59,74.50,53.91,53.91,149,51,96.0,1107,96
8-4-6-7-1242819280,100040,102,50,49.02,100.00,50.98,50.98,200,0,48.0,517,48
5-7-2-14-379699173,100034,102,35,34.31,98.50,64.19,64.19,197,3,72.0,323,72
5-3-1-18-145225191,200053,102,17,16.67,45.00,28.33,28.33,90,110,72.0,236,72
9-9-5-17-1928450641,100076,102,19,18.63,43.50,24.87,24.87,87,113,90.0,451,90
9-6-5-13-1484378581,100026,101,48,47.52,94.50,46.98,46.98,189,11,54.0,143,54
4-4-3-10-831101768,100043,101,82,81.19,99.50,18.31,18.31,199,1,78.0,1033,78
4-1-1-22-743292157,100051,101,40,39.60,89.50,49.90,49.90,179,21,105.0,1710,105
4-5-5-12-549492605,100041,101,44,43.56,93.50,49.94,49.94,187,13,72.0,298,72
3-2-2-20-943566513,500001,101,20,19.80,99.50,79.70,79.70,199,1,78.0,321,78
3-8-9-11-1559915206,200004,101,14,13.86,54.00,40.14,40.14,108,92,48.0,183,48
7-8-6-22-231043738,100069,101,10,9.90,21.00,11.10,11.10,42,158,114.0,820,114
5-2-8-16-1626511038,100097,100,68,68.00,97.00,29.00,29.00,194,6,84.0,524,84
6-4-2-23-2035158450,100086,100,32,32.00,93.50,61.50,61.50,187,13,117.0,2228,117
8-4-4-16-1427998275,100057,100,62,62.00,99.50,37.50,37.50,199,1,72.0,294,72
9-5-4-21-2135396272,100094,100,22,22.00,31.00,9.00,9.00,62,138,99.0,750,99
7-5-3-14-658198155,100028,100,64,64.00,88.50,24.50,24.50,177,23,54.0,150,54
9-4-2-10-1897181722,100088,99,40,40.40,96.50,56.10,56.10,193,7,72.0,2065,72
8-5-5-17-852903226,100061,99,4,4.04,42.50,38.46,38.46,85,115,102.0,667,102
5-5-6-12-1383284339,100058,99,58,58.59,82.00,23.41,23.41,164,36,84.0,954,84
5-5-7-9-1214682763,200004,99,49,49.49,100.00,50.51,50.51,200,0,48.0,177,48
6-9-1-23-1139168450,400012,99,27,27.27,88.50,61.23,61.23,177,23,108.0,1103,108
3-2-3-12-1982490717,100096,99,38,38.38,84.00,45.62,45.62,168,32,96.0,2585,96
8-1-8-19-1530197748,100067,99,22,22.22,29.50,7.28,7.28,59,141,90.0,1827,90
9-5-7-14-1002751626,200015,99,23,23.23,99.00,75.77,75.77,198,2,54.0,157,54
8-2-4-17-56354442,100083,99,62,62.63,82.50,19.87,19.87,165,35,90.0,452,90
7-3-4-19-1113532201,100052,99,26,26.26,91.50,65.24,65.24,183,17,120.0,1026,120
8-4-8-20-111366415,100061,98,21,21.43,89.00,67.57,67.57,178,22,102.0,692,102
9-1-9-16-1237585127,100050,98,58,59.18,97.00,37.82,37.82,194,6,78.0,1068,78
3-7-2-21-756216219,400013,98,20,20.41,43.50,23.09,23.09,87,113,108.0,3639,108
4-9-9-15-1518492878,100041,98,53,54.08,92.50,38.42,38.42,185,15,72.0,390,72
8-4-4-18-1423049986,400017,98,20,20.41,64.50,44.09,44.09,129,71,117.0,652,117
1-1-1-19-1315843037,100070,98,13,13.27,77.00,63.73,63.73,154,46,117.0,1583,117
9-6-9-12-516812878,100060,98,42,42.86,95.50,52.64,52.64,191,9,84.0,907,84
6-4-3-14-760448229,100087,97,41,42.27,82.50,40.23,40.23,165,35,102.0,1594,102
6-9-5-12-1369380500,100026,97,21,21.65,96.00,74.35,74.35,192,8,54.0,161,54
8-9-4-19-793672204,100063,97,16,16.49,98.50,82.01,82.01,197,3,99.0,1011,99
8-7-6-16-1608109849,100033,97,8,8.25,5.50,-2.75,2.75,11,189,60.0,105,60
7-6-4-19-695205449,100069,97,24,24.74,96.00,71.26,71.26,192,8,114.0,1178,114
7-3-3-14-1309345913,100093,97,48,49.48,77.00,27.52,27.52,154,46,96.0,15589,96
5-5-3-19-542486325,100064,97,10,10.31,48.50,38.19,38.19,97,103,126.0,2403,126
9-3-1-10-1615350482,200012,97,61,62.89,100.00,37.11,37.11,200,0,54.0,317,54
7-7-6-11-1573919088,100047,96,40,41.67,72.50,30.83,30.83,145,55,72.0,1154,72
3-3-1-18-1097715457,100051,96,25,26.04,79.50,53.46,53.46,159,41,105.0,1176,105
9-5-9-15-2018105416,500002,96,57,59.38,100.00,40.62,40.62,200,0,78.0,341,78
1-1-1-20-858762662,100069,96,44,45.83,97.00,51.17,51.17,194,6,114.0,1470,114
8-7-6-17-1103997309,100070,96,17,17.71,28.50,10.79,10.79,57,143,117.0,1583,117
4-1-2-16-70015304,100048,96,51,53.13,58.50,5.37,5.37,117,83,66.0,464,66
7-3-4-14-937280477,100093,96,46,47.92,79.00,31.08,31.08,158,42,96.0,12022,96
4-4-8-8-1938171021,100040,96,43,44.79,100.00,55.21,55.21,200,0,48.0,483,48
5-2-8-6-1291959801,100040,96,52,54.17,100.00,45.83,45.83,200,0,48.0,493,48
4-2-4-25-1068228470,100052,96,15,15.63,62.00,46.37,46.37,124,76,120.0,558,120
7-4-1-23-393887925,100086,96,11,11.46,25.50,14.04,14.04,51,149,117.0,1885,117
8-6-3-21-158730144,100064,95,10,10.53,76.50,65.97,65.97,153,47,126.0,1410,126
9-1-9-16-1759935993,100050,95,57,60.00,100.00,40.00,40.00,200,0,78.0,1296,78
4-7-2-20-413390683,400012,95,24,25.26,53.50,28.24,28.24,107,93,108.0,1184,108
8-1-6-18-993354918,100096,95,19,20.00,53.00,33.00,33.00,106,94,96.0,2043,96
9-9-4-13-1133014161,100026,95,45,47.37,86.50,39.13,39.13,173,27,54.0,153,54
5-9-4-24-460994869,100052,95,3,3.16,23.00,19.84,19.84,46,154,120.0,637,120
7-2-1-17-946420142,100081,95,49,51.58,88.00,36.42,36.42,176,24,72.0,991,72
4-3-4-12-358369427,100083,94,43,45.74,95.00,49.26,49.26,190,10,90.0,988,90
3-2-1-21-1640705174,100086,94,16,17.02,86.50,69.48,69.48,173,27,117.0,2337,117
6-3-8-11-1313210039,100005,94,69,73.40,97.50,24.10,24.10,195,5,66.0,300,66
4-2-3-12-735021879,100059,94,59,62.77,90.50,27.73,27.73,181,19,81.0,561,81
1-2-4-9-1689782373,100040,94,37,39.36,98.00,58.64,58.64,196,4,48.0,450,48
8-1-5-21-1628943733,100051,94,1,1.06,74.50,73.44,73.44,149,51,105.0,1086,105
4-1-5-12-1584784878,100040,94,39,41.49,97.00,55.51,55.51,194,6,48.0,386,48
7-6-7-14-2131660098,100005,94,78,82.98,100.00,17.02,17.02,200,0,66.0,236,66
5-1-2-16-239892141,100085,94,76,80.85,92.00,11.15,11.15,184,16,84.0,680,84
4-4-7-9-1938245576,200015,93,35,37.63,99.00,61.37,61.37,198,2,54.0,281,54
6-5-5-11-837337796,100047,93,47,50.54,80.00,29.46,29.46,160,40,72.0,1184,72
8-8-5-11-1631394748,100047,93,60,64.52,100.00,35.48,35.48,200,0,72.0,1144,72
7-8-6-18-1178060813,100069,93,17,18.28,55.00,36.72,36.72,110,90,114.0,1170,114
7-9-4-16-803690579,100065,92,55,59.78,85.00,25.22,25.22,170,30,108.0,1653,108
8-6-9-15-297462780,100046,92,62,67.39,92.00,24.61,24.61,184,16,57.0,119,57
4-4-1-18-1690431411,100084,92,20,21.74,56.50,34.76,34.76,113,87,102.0,5144,102
7-9-8-17-1940928026,100007,92,40,43.48,89.00,45.52,45.52,178,22,69.0,248,69
1-2-1-13-933626821,100088,92,47,51.09,98.50,47.41,47.41,197,3,72.0,1732,72
5-2-3-25-864425357,100061,92,8,8.70,51.50,42.80,42.80,103,97,102.0,622,102
8-9-8-15-912364291,100071,91,25,27.47,96.50,69.03,69.03,193,7,72.0,387,72
4-2-3-14-960379637,100055,91,48,52.75,99.00,46.25,46.25,198,2,84.0,803,84
9-6-1-17-659705449,100096,91,23,25.27,87.00,61.73,61.73,174,26,96.0,2580,96
1-3-2-17-1707118431,200012,91,8,8.79,0.00,-8.79,8.79,0,200,0.0,93,54
2-7-2-14-1323209807,100028,91,65,71.43,99.50,28.07,28.07,199,1,54.0,259,54
1-7-5-19-1822490142,100058,91,30,32.97,53.50,20.53,20.53,107,93,84.0,1263,84
4-5-2-7-1824010743,200015,91,55,60.44,100.00,39.56,39.56,200,0,54.0,393,54
7-3-3-17-1817357206,100061,91,55,60.44,100.00,39.56,39.56,200,0,102.0,1128,102
1-1-1-19-791533018,100070,90,21,23.33,64.50,41.17,41.17,129,71,117.0,1548,117
6-3-2-21-562213241,100086,90,33,36.67,89.00,52.33,52.33,178,22,117.0,2013,117
6-9-1-23-1882701512,400012,90,23,25.56,92.00,66.44,66.44,184,16,108.0,1258,108
